,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,4692,4862,4793,4962,5031,5221,5221,5304,5443,5198,5918,6936,6444,7071,4253,4182,4149,3313,3139,2920,2864,2895,3105,3339,3183,3086,3146,3506,3498,3740,3691,3798,3693,3811,3699,3682,3745,3680,3603,3657,3566,3660,3574,3675,3500,3692,4012,4072,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,5167,5149,4909,4865,4818,4726,4662,4513,4534,4602,4452,4953,4944,5145,4977,4738,5070,5211,5052,4458,4618,3740,3641,3534,3775,3884,3107,3605,3372,3246,3112,2994,2912,3087,3485,2808,3303,2708,2250,2240,2344,2329,2251,2562,2520,2551,2675,2462,0
Egypt,..,..,..,..,..,..,..,..,..,..,..,4149,4195,4237,4273,4288,4288,4301,4333,4365,4389,4469,4535,4592,4670,4691,4688,4707,4770,4840,4883,4987,5248,5270,5263,5295,5316,5426,5536,5614,5742,5846,5757,5919,6096,6177,6351,6401,6365,6467,6486,6599,6636,6546,6563,6590,6691,6745,6800,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,5662,5880,6036,6296,6524,6679,6937,7122,7279,6596,6631,6763,7000,7137,7236,5695,6168,5399,5365,5541,5788,5996,5932,5945,5969,6001,6095,6225,6236,2626,2745,2847,3018,3228,3422,3637,2691,2837,3111,3122,2720,3050,2402,1955,2058,2207,2575,2458,0
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67,74,75,75,81,81,81,88,88,87,87,87,94,94,94,94,88,87,87,139,70,163,163,173,172,172,172,182,181,181,181,187,156,156,155,162,168,174,..
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2593,2593,2604,2685,2758,2844,1794,1849,1901,1979,2045,2099,1548,1613,1663,1709,1754,1813,1856,1833,1804,1787,1780,1782,1792,1767,1752,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,881,877,1014,963,1404,1570,2843,2822,2372,2429,2397,2527,2563,2693,2791,2721,2443,2766,2967,3268,3869,3758,3850,3758,3759,3918,4265,4459,4966,0
Ethiopia,..,..,..,..,..,..,..,..,..,..,..,45962,47363,48769,50063,51171,52052,52757,53412,54190,55219,56545,58131,59933,61868,63878,65942,68084,70328,72707,75246,77953,80802,83743,86704,89637,92524,95372,98217,101102,104058,107096,110213,113402,116652,119961,123327,126760,130351,133366,137145,141030,144890,148727,152973,155944,159532,163280,167620,..
Finland,22558,22427,22015,21792,21790,21650,21341,20648,20085,19981,19596,18987,18602,18486,18091,14868,14839,14451,15119,15966,16237,16762,15904,17514,18909,17580,17534,18606,18434,19927,21359,19603,19132,21065,22420,23514,24064,26648,27868,28800,30324,29656,32050,32744,34404,32129,35912,34576,35574,31829,37695,37275,39010,39934,41013,40141,41406,43423,44764,0
France,0,0,0,0,0,0,0,0,0,0,43443,43715,44172,45399,41035,42607,40866,41509,42763,44089,40052,38679,39526,43803,44631,50061,48744,51248,47838,47259,48375,55841,54320,52353,47479,48632,52272,48081,48104,46174,44743,45442,43467,46081,46838,49291,45019,48404,53364,55385,61761,52606,58847,63656,58241,61944,66560,65791,65928,0
Gabon,..,..,..,..,..,..,..,..,..,..,..,2281,2329,2381,2437,2497,2555,2608,2661,2717,2773,2833,2896,2959,3025,3094,3152,3211,3272,3337,3483,3620,3721,3806,3808,3920,3979,4034,4132,4227,4337,4445,6056,7667,9279,10891,12504,14117,15732,17347,18963,13793,11339,18780,17544,17846,17769,17614,17383,..
Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2149,2022,3160,4845,1361,3160,4482,3675,3294,3160,3026,3026,3026,3026,3026,1637,1749,1848,1773,1791,1684,1477,1438,2256,2181,1867,1812,1704,1269,0
Germany,0,0,0,0,0,0,0,0,0,0,11891,11892,12651,11718,13363,13177,13358,13326,13380,13726,17189,18555,19919,19828,21417,21723,17326,16389,17881,17045,16824,16635,16844,16999,17199,17217,17692,23476,25422,25271,26943,28130,29675,43382,49799,58713,71970,80002,83937,82645,95080,92035,102195,103690,97919,98516,96914,98072,96261,0
Ghana,..,..,..,..,..,..,..,..,..,..,..,8108,8578,9071,9173,9448,9719,10004,10264,10517,10801,11055,11328,11633,11840,12213,12607,13012,13436,13875,14248,14792,15278,15782,16308,16756,17156,17553,18015,18410,15534,14631,13800,13045,12362,11747,11206,10817,11550,11425,11299,11807,11854,12249,12766,12736,12716,12934,12767,..
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Greece,0,0,0,0,0,0,0,0,0,0,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2345,2345,2171,4188,4205,4214,4218,4191,4208,4258,4272,4254,4273,4432,4472,4554,4336,4381,4563,4579,5267,4698,4332,4549,5535,6106,5156,5190,5634,4939,4992,4924,0
Guatemala,..,..,..,..,..,..,..,..,..,..,..,8274,8523,8796,9056,10664,11308,11530,11573,11726,10832,11226,11656,11434,11686,11918,12222,12642,12868,13406,13992,14253,14665,14435,14280,14793,14981,15611,15757,18271,18263,18639,23007,23626,24591,24694,24754,26183,26117,27455,29835,30347,32151,32784,33753,34076,36771,37470,37820,0
Haiti,..,..,..,..,..,..,..,..,..,..,..,6265,6422,6511,6671,6818,6970,7118,7310,7541,7711,6982,7050,7146,7174,7220,6518,6567,6625,6667,7297,7398,7441,7582,7709,7876,8036,8265,8407,8532,8670,8809,8870,9021,9302,9568,9849,10130,10217,10524,10760,11112,11468,11482,11355,11651,11819,11956,12133,..
Honduras,..,..,..,..,..,..,..,..,..,..,..,4604,4702,4773,4900,4996,5100,5246,5368,5495,5800,5870,6020,6125,6180,6300,6297,6558,6673,6784,6964,6982,6999,7015,7036,7052,7083,8015,8065,6470,6280,6298,6657,7072,7488,8167,8634,9246,9236,9482,9857,10167,10885,10502,11366,11678,12200,9013,10387,..
Hong Kong (China),..,..,..,..,..,..,..,..,..,..,..,166,147,144,138,112,132,138,140,142,144,139,144,150,143,131,131,123,110,124,105,112,104,110,97,91,86,74,61,62,41,44,54,55,54,48,45,127,160,156,149,220,155,155,175,226,242,250,247,..
Hungary,..,..,..,..,..,2868,2561,2623,2274,2976,2271,2491,2526,2915,2816,2099,2439,2277,2118,2466,2332,2563,2496,2500,3019,2670,2318,2366,2046,2247,2979,3209,3225,3339,3359,3591,3523,3436,3438,3464,3403,3566,3604,3745,3932,7384,7416,8169,8329,10839,11830,12226,12486,13158,11984,12652,12420,12130,11151,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,4,4,5,6,6,13,9,3,3,3,4,59,58,95,103,138,167,0
India,..,..,..,..,..,..,..,..,..,..,..,438902,449015,459312,469870,480736,491888,503304,514965,526838,534005,541267,548606,556043,563592,571242,579007,586875,594861,602960,611174,619504,627946,631181,634426,640571,646574,653110,659625,670989,680530,693284,706675,720293,733623,728244,703600,737153,772113,807769,845154,883399,870329,855463,838541,819552,856532,847744,845344,0
Indonesia,..,..,..,..,..,..,..,..,..,..,..,118879,120610,122377,123749,126152,128326,130637,133062,135324,137591,140121,142690,145221,147706,150088,152433,154872,157546,160063,196943,200688,204162,207616,210705,213173,214726,219964,222790,225284,230964,230726,231418,232446,232119,230745,235579,236049,236464,224314,212117,202097,192301,185240,179209,168871,166029,159095,146193,0
Islamic Republic of Iran,..,..,..,..,..,..,..,..,..,..,..,423,360,409,451,474,435,458,383,329,331,475,478,560,641,793,804,633,896,666,762,801,924,1026,1122,1040,1079,975,771,682,634,611,465,425,419,2715,2708,2857,2896,2898,2899,2361,2373,2371,2399,2378,2384,2397,2378,0
Iraq,..,..,..,..,..,..,..,..,..,..,..,69,61,73,65,68,65,82,82,58,51,48,51,51,51,54,54,58,58,55,61,61,65,65,67,70,57,57,62,62,66,67,67,71,72,72,76,77,78,82,83,83,87,88,93,93,97,99,99,..
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,479,423,429,431,424,468,491,586,556,595,653,642,616,730,916,946,1026,1102,1247,1395,1261,1419,1561,1786,1727,2018,2291,2448,0
Israel,..,..,..,..,..,..,..,..,..,..,..,17,17,14,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,8,14,14,18,21,14,28,28,34,38,38,34,40,33,42,51,56,58,78,99,134,134,146,125,102,133,127,140,149,145,0
Italy,0,0,0,0,0,0,0,0,0,0,1424,1020,1159,1143,5650,5145,4855,4354,3780,3962,4182,4454,4263,4374,4576,3977,4795,4568,4775,3866,3455,4159,4885,4591,5531,5562,5442,6165,6577,7301,8262,8895,13580,21591,18386,26596,30689,39234,47376,49053,49364,41193,51461,55130,51738,54453,53455,56010,54089,0
