TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hong Kong (China),..,..,..,..,..,..,..,..,..,..,..,1043,722,428,430,350,539,430,376,352,247,1555,37595,88297,115204,142606,164998,206717,239145,256145,230399,248611,263936,305270,218092,235040,174640,147344,183232,164939,156296,207251,224924,275441,275828,279259,294197,316334,292701,318140,266359,323248,318656,334678,355756,288547,287954,270967,263835,253072
Hungary,..,..,..,..,..,374068,365387,350601,333376,324440,333720,328852,323472,331004,317973,306149,315805,317710,361741,356494,352651,347512,356495,340972,340629,336228,325617,327261,307522,292661,260760,249991,220829,204040,198295,193479,198761,190823,179158,174030,161112,151866,151672,156945,141479,127111,128630,130988,127558,107297,113872,113079,108384,94294,92428,98607,91721,93736,94270,83828
Iceland,791,791,422,290,264,237,158,132,132,53,26,26,26,26,0,0,0,0,0,576,734,1315,1282,1813,2538,2721,3016,2436,2490,2585,2686,2728,1931,1887,2818,2303,2678,2347,2764,2403,4087,3869,4029,3798,4304,4162,3723,4461,3911,3576,3773,3799,3879,4086,3632,3894,4145,4152,4588,2839
India,..,..,..,..,..,..,..,..,..,..,..,1293447,1331594,1319392,1483382,1607254,1736460,1736032,1600927,1754349,1855099,2092308,2252120,2376770,2583775,2734507,2956746,3198583,3408965,3645179,3881056,4206363,4413639,4630041,4883151,5162451,5366962,5593153,5523481,5946406,6109530,6238766,6454118,6587150,7328963,7713072,8222083,8944023,9777973,10903654,11682316,12356906,13662510,14441713,16082230,15794012,15572500,16471374,17342313,17135639
Indonesia,..,..,..,..,..,..,..,..,..,..,..,5557,5226,3534,4454,5587,4496,5104,4930,6010,6594,7333,7855,7120,8052,22385,66810,86445,100766,124820,148575,136925,159452,265898,240953,265030,368691,292721,289508,373268,502798,601553,642452,646917,854821,926414,1109275,1188911,1079600,1277512,1333046,1750947,1568070,1195076,1511664,1661605,1813420,2025488,2312541,3379794
Islamic Republic of Iran,..,..,..,..,..,..,..,..,..,..,..,9494,14833,24932,27299,50443,49865,50443,32946,47555,50081,41821,56407,53221,41146,40481,39870,39219,40471,29733,29740,42451,37388,45959,46170,43218,45210,46339,53961,56232,61063,53062,53278,58658,57722,70434,68953,72653,67688,49875,62309,61260,47192,48437,40545,47793,44041,51415,55326,50014
Iraq,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,102844,104617,97105,96848,93641,81824,88859,90852,104621,98977,88433,86496,80352,66373,76695,69607,73005,77772,65038,83655,79871,85126,89763,97579,94300,108263,120239,154209,155751,159170,142189,140875,137077,130377,123920,121450,123801,121452,120946,102012,108910,114672,111926,105807,98721,111759,99862,98424,96998,86117,81733,82396,98438,85530,83653,91946,87249,75418,58344,38574
Israel,..,..,..,..,..,..,..,..,..,..,..,226,56,56,28,28,28,28,28,28,28,28,23858,44386,70778,77357,85690,91254,89470,96686,95692,104454,128567,145313,154001,168763,200985,221574,238315,232727,271055,293937,324487,327177,331762,310092,330647,335588,326110,299206,310087,320198,359689,294938,279512,277125,230151,208055,200271,199784
Italy,333278,351465,377167,377735,330432,353767,367089,404393,382694,383210,384091,358015,340505,338946,388008,349008,370314,367964,383989,436691,489110,526710,555509,516757,588668,639738,589435,614157,581695,575844,612583,577650,510426,446148,475768,514070,470652,474991,493454,492787,525830,559364,574845,622825,694831,689521,698081,683614,661447,517837,572498,641898,657942,566736,546729,514953,459644,391214,358229,248813
