TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,69,59,59,59,62,62,59,56,78,94,87,97,87,84,90,115,128,143,136,143,203,240,243,287,281,287,296,312,324,340,349,356,362,393,406,424,421,430,471,474,459,468,499,537,587,612,627,694,..
Greece,7322,8310,8977,9632,11393,12755,14325,15869,17124,19211,21418,25065,28937,33725,32259,34100,38826,40196,42652,44885,45176,44652,45942,49128,50823,54480,54350,59811,63806,68754,69857,70102,72316,72216,73815,76478,76380,77354,80744,81029,87924,90042,90283,93849,93481,95156,94104,97903,94352,90158,83369,82117,76986,68845,65727,64543,63077,63111,61602,56830
Guatemala,..,..,..,..,..,..,..,..,..,..,..,2264,2493,2631,2714,3016,2897,3343,3755,4215,4214,3636,3189,2746,3094,3184,2320,2720,2906,3038,3207,3411,4226,4627,4917,5859,5719,6003,7645,7517,8582,8968,9629,9709,9845,10537,10539,11405,10247,11259,10346,10626,11029,11854,12590,14985,16101,15150,16856,..
Haiti,..,..,..,..,..,..,..,..,..,..,..,379,356,365,409,413,569,595,645,652,620,522,669,750,779,796,741,813,886,935,934,894,815,652,189,902,1058,1274,1310,1382,1473,1514,1705,1689,1543,1582,1601,1929,1910,1873,2340,2678,2386,2612,2944,3203,3287,3249,3212,..
Honduras,..,..,..,..,..,..,..,..,..,..,..,1123,1158,1266,1249,1328,1421,1578,1584,1685,1696,1612,1595,1763,1865,1672,1701,1900,2095,2319,2177,2163,2463,2602,3000,3575,3521,3621,4324,4361,4488,5291,5620,6246,7036,6459,7355,7893,7939,7436,7575,8146,8473,8679,8803,9207,8742,8345,9115,..
Hong Kong (China),..,..,..,..,..,..,..,..,..,..,..,9229,9559,9630,11005,10897,12604,14561,15443,14279,14607,15794,17135,19565,21305,22306,25266,27762,31018,32378,33302,36221,40747,43191,36444,36527,35231,32769,41441,44468,40350,41453,40123,42819,40908,41332,42321,44032,42858,46247,41997,45646,45099,46051,47893,43941,44759,44041,42593,..
Hungary,..,..,..,..,..,51095,52198,52402,52854,55010,58608,60254,62097,66405,68759,70173,73341,76926,84814,83386,82614,81711,82055,78436,80477,79755,78257,79111,74452,72970,65670,63450,57143,57360,56603,56245,57344,55816,56131,56687,53280,54923,54174,56775,55061,54722,54162,52522,51753,46866,47145,46344,42749,40247,40059,42708,43778,45763,45602,45708
Iceland,1172,1150,1245,1266,1292,1405,1503,1423,1493,1326,1318,1404,1498,1666,1662,1614,1590,1634,1758,1827,1747,1736,1564,1595,1695,1628,1701,1744,1827,1824,1896,1866,1900,1945,2054,1964,2226,2108,2100,2055,2161,2106,2206,2194,2270,2235,2273,2320,2122,2080,1949,1869,1860,2032,2048,2057,2065,2172,2196,1895
India,..,..,..,..,..,..,..,..,..,..,..,180862,188082,187868,203447,217215,232163,236546,231006,250628,263388,289574,306057,326612,360447,376469,410220,442105,466781,501583,530121,571459,595361,620893,655421,704338,737743,779066,795000,854582,889825,904848,934662,959015,1028269,1074989,1148382,1265949,1349162,1481618,1572139,1662616,1805254,1860976,2027390,2036882,2070874,2190820,2307780,2309057
Indonesia,..,..,..,..,..,..,..,..,..,..,..,25212,28345,32111,35256,37840,38800,46375,52542,59381,67616,73106,75720,75486,76653,84233,93756,96167,102594,106965,131300,141751,149367,162282,174927,200060,210741,232358,238597,255772,255024,274291,279929,308643,315798,317558,338974,355156,350568,365809,391651,449828,451120,416859,452264,453867,454350,492711,542876,..
Islamic Republic of Iran,..,..,..,..,..,..,..,..,..,..,..,38904,43019,51987,58707,68033,77828,87472,86548,95754,88500,90518,102307,122994,133201,145048,134599,143968,147479,162747,171246,191270,206422,208882,238344,244570,251258,263606,266084,298555,312265,327351,343057,357394,385876,417781,449260,480065,487344,504287,498608,507802,514469,538251,559171,555801,556955,569976,579555,..
