"MODEL","SCENARIO","REGION","VARIABLE","UNIT","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100",
"AIM/Hub V2.2","Baseline","XNF","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,0.00210853025859541,0.000664707477810989,0.000846304652350921,0.000758384156017056,0.000914657370490157,0.0015640019753385,0.0029764059474696,0.00638508312152332,0.00848547326952769,-0.000540673270615677,-0.000368450619750393,0.00454739162259684,0.00630373080150047,0.00781123338988325,0.00852318732836224,0.00525664057038072,0.003441670224591,0.00149154526201312,
"AIM/Hub V2.2","Baseline","XAF","ChangeRate_Electricity_Rate_Total","EJ/yr/EJ/yr/y",0,0.000946404817978941,0.0016545904388066,0.00130893708699271,0.00100411101835796,0.000905325365213389,0.00124548871332912,0.00190887408219782,0.00339855061945307,0.00341745281748521,0.000333498834241258,0.00167728127637678,0.0027097120388402,0.0033794290737206,0.00496141716483366,0.00524387617814843,0.00796741148522669,0.00591370705673256,0.00279407208226099,

"MODEL","SCENARIO","REGION","VARIABLE","UNIT","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100",
"AIM/Hub V2.2","1.5C","XE25","Electricity_Rate_Total","EJ/yr/EJ/yr",0.196777623292713,0.202937238351892,0.20045189069361,0.225594203890891,0.25882707817362,0.330378379992237,0.411969012333976,0.457610525497915,0.458122086302125,0.50591752105223,0.572307110577769,0.618746684933406,0.624247834077186,0.630589303079417,0.650687232821764,0.659964981261903,0.663976062372404,0.666490016280711,0.668906820335589,
"AIM/Hub V2.2","1.5C","XER","Electricity_Rate_Total","EJ/yr/EJ/yr",0.261774090619017,0.270195356254628,0.272155989658144,0.301873387428486,0.353187529083295,0.448200184596452,0.520808733660638,0.553183253539778,0.561396532527437,0.602534607909246,0.64679854242582,0.678080689228806,0.678193213745407,0.678638095978844,0.689950410661708,0.692003090593008,0.692481246504811,0.692895752895753,0.694227173871571,
"AIM/Hub V2.2","1.5C","TUR","Electricity_Rate_Total","EJ/yr/EJ/yr",0.203496216343052,0.206919462768734,0.218191400588519,0.228616106333073,0.268042652510183,0.353850233858913,0.43763074677694,0.491559156149758,0.486452846124781,0.537772964370966,0.619436606899063,0.677693390890833,0.680804785209353,0.684032899736266,0.704554615074567,0.708870913831138,0.710101256286974,0.7109947875254,0.711789813565694,
"AIM/Hub V2.2","1.5C","XOC","Electricity_Rate_Total","EJ/yr/EJ/yr",0.238393167485973,0.226338504607489,0.224152118314244,0.222982669168782,0.275328571748427,0.364736592311343,0.638710851412281,0.721658436914694,0.768272808339227,0.7912961383847,0.810283196203507,0.80859592645329,0.806011472275335,0.812013126418451,0.813985084991395,0.810945124239922,0.810576966182997,0.810043537901831,0.808570576837085,
"AIM/Hub V2.2","1.5C","CHN","Electricity_Rate_Total","EJ/yr/EJ/yr",0.161442353666033,0.189852742588901,0.219910867286147,0.283747531847326,0.363202732236955,0.472790295098731,0.547508206255208,0.575941491587614,0.571409365648939,0.603440379940069,0.647014286557648,0.672531913246369,0.674713997436708,0.677027919645373,0.68682467758801,0.690003388043969,0.692215196564985,0.694486916428339,0.696740008780693,
"AIM/Hub V2.2","1.5C","IND","Electricity_Rate_Total","EJ/yr/EJ/yr",0.125009795854394,0.147823935676734,0.169350546380892,0.177596454500572,0.230126712822185,0.308593170007424,0.36439581003032,0.40581503659348,0.413632952215268,0.450482647948746,0.512668845151867,0.560668737978991,0.574516182705934,0.587506193159393,0.610602486928005,0.62346514418467,0.633770503403286,0.643376380656413,0.652496089214954,
"AIM/Hub V2.2","1.5C","JPN","Electricity_Rate_Total","EJ/yr/EJ/yr",0.260287299984522,0.261591072993323,0.25910036500522,0.299388932799606,0.354175901300236,0.436978664542901,0.507397537217423,0.571405789012041,0.560609109814181,0.604432367011863,0.671280442539333,0.716413482812751,0.719045640110494,0.721447555248116,0.73723370351303,0.74145118894798,0.744103329812933,0.746545112509949,0.748955682527488,
"AIM/Hub V2.2","1.5C","XSE","Electricity_Rate_Total","EJ/yr/EJ/yr",0.154065044821347,0.164328199812429,0.17233677751207,0.172588818012541,0.168618219335339,0.22315441604183,0.343077309104355,0.411554980628059,0.396412751868545,0.449911503370023,0.537623768538053,0.59267146843989,0.59629711427496,0.60033922131899,0.617629450431298,0.620966862873338,0.621174854373009,0.620765652269735,0.620061918034295,
"AIM/Hub V2.2","1.5C","XSA","Electricity_Rate_Total","EJ/yr/EJ/yr",0.0923599180310902,0.104505574001595,0.113286640001397,0.140919821786748,0.165637607437292,0.249329855176756,0.364874477350405,0.390225325293558,0.398416009189565,0.433568402026727,0.484833652234533,0.523452797721474,0.533107207050502,0.541411500589665,0.568411564861679,0.585604575602159,0.599310882850085,0.611489763779528,0.622233369630382,
"AIM/Hub V2.2","1.5C","CAN","Electricity_Rate_Total","EJ/yr/EJ/yr",0.207618589459559,0.206627109125095,0.223584300460722,0.270694703220655,0.331386989084635,0.452101486757119,0.544364956489242,0.577494775854591,0.568752942374003,0.609795835242605,0.673035762929525,0.712415332312563,0.713083552941476,0.71407806528413,0.726911174357763,0.729298107255521,0.729566057818177,0.729375669621116,0.729014864471,
